Source_Name,Target_Name,Action_Sentiment_immuneXpresso,NumPapers_immuneXpresso,Enrichment_Score_immuneXpresso,Source_cell_ontology_ID,ImmunoGlobe_reference
astrocyte,FGF2,Positive,14,9.1,CL_0000127,NA
astrocyte,IL1,Positive,4,1.8,CL_0000127,NA
astrocyte,IL17,Positive,3,2.36,CL_0000127,NA
astrocyte,IL17A,Positive,2,4.24,CL_0000127,NA
astrocyte,IL1B,Positive,17,8.56,CL_0000127,NA
astrocyte,IL33,Positive,3,6.24,CL_0000127,NA
astrocyte,IL4,Positive,2,0.6,CL_0000127,NA
astrocyte,IL6,Positive,17,5.67,CL_0000127,NA
astrocyte,TGFA,Positive,3,14.23,CL_0000127,NA
astrocyte,TGFB,Positive,9,3,CL_0000127,NA
astrocyte,TGFB1,Positive,5,1.84,CL_0000127,NA
astrocyte,TNF,Positive,24,3.5,CL_0000127,NA
antibody secreting cell,BAFF,NA,NA,NA,CL_0000946,813|Table Appendix III
B cell,BAFF,NA,NA,NA,CL_0000236,813|Table Appendix III
B-1 B cell,BAFF,NA,NA,NA,CL_0000819,813|Table Appendix III
germinal center B cell,BAFF,NA,NA,NA,CL_0000844,813|Table Appendix III
IgA plasma cell,BAFF,NA,NA,NA,CL_0000987,813|Table Appendix III
marginal zone B cell,BAFF,NA,NA,NA,CL_0000845,813|Table Appendix III
memory B cell,BAFF,NA,NA,NA,CL_0000787,813|Table Appendix III
naive B cell,BAFF,NA,NA,NA,CL_0000788,813|Table Appendix III
plasma cell,BAFF,NA,NA,NA,CL_0000786,813|Table Appendix III
plasmablast,BAFF,NA,NA,NA,CL_0000980,813|Table Appendix III
plasmablast,IL10,Positive,1,14.57,CL_0000980,811|Table Appendix III
memory B cell,IL10,Positive,2,21.86,CL_0000787,811|Table Appendix III
B-1 B cell,IL10,Positive,3,9.94,CL_0000819,811|Table Appendix III
B cell,IL10,Positive,95,5.49,CL_0000236,811|Table Appendix III
antibody secreting cell,IL10,NA,NA,NA,CL_0000946,811|Table Appendix III
germinal center B cell,IL10,NA,NA,NA,CL_0000844,811|Table Appendix III
IgA plasma cell,IL10,NA,NA,NA,CL_0000987,811|Table Appendix III
marginal zone B cell,IL10,NA,NA,NA,CL_0000845,811|Table Appendix III
naive B cell,IL10,NA,NA,NA,CL_0000788,811|Table Appendix III
plasma cell,IL10,NA,NA,NA,CL_0000786,811|Table Appendix III
antibody secreting cell,IL35,NA,NA,NA,CL_0000946,812|Table Appendix III
B cell,IL35,NA,NA,NA,CL_0000236,812|Table Appendix III
B-1 B cell,IL35,NA,NA,NA,CL_0000819,812|Table Appendix III
germinal center B cell,IL35,NA,NA,NA,CL_0000844,812|Table Appendix III
IgA plasma cell,IL35,NA,NA,NA,CL_0000987,812|Table Appendix III
marginal zone B cell,IL35,NA,NA,NA,CL_0000845,812|Table Appendix III
memory B cell,IL35,NA,NA,NA,CL_0000787,812|Table Appendix III
naive B cell,IL35,NA,NA,NA,CL_0000788,812|Table Appendix III
plasma cell,IL35,NA,NA,NA,CL_0000786,812|Table Appendix III
plasmablast,IL35,NA,NA,NA,CL_0000980,812|Table Appendix III
plasma cell,IL6,Positive,11,14.95,CL_0000786,811|Table Appendix III
B cell,IL6,Positive,42,1.99,CL_0000236,811|Table Appendix III
antibody secreting cell,IL6,NA,NA,NA,CL_0000946,811|Table Appendix III
B-1 B cell,IL6,NA,NA,NA,CL_0000819,811|Table Appendix III
germinal center B cell,IL6,NA,NA,NA,CL_0000844,811|Table Appendix III
IgA plasma cell,IL6,NA,NA,NA,CL_0000987,811|Table Appendix III
marginal zone B cell,IL6,NA,NA,NA,CL_0000845,811|Table Appendix III
memory B cell,IL6,NA,NA,NA,CL_0000787,811|Table Appendix III
naive B cell,IL6,NA,NA,NA,CL_0000788,811|Table Appendix III
plasmablast,IL6,NA,NA,NA,CL_0000980,811|Table Appendix III
antibody secreting cell,LTa,NA,NA,NA,CL_0000946,813|Table Appendix III
B cell,LTa,NA,NA,NA,CL_0000236,813|Table Appendix III
B-1 B cell,LTa,NA,NA,NA,CL_0000819,813|Table Appendix III
germinal center B cell,LTa,NA,NA,NA,CL_0000844,813|Table Appendix III
IgA plasma cell,LTa,NA,NA,NA,CL_0000987,813|Table Appendix III
marginal zone B cell,LTa,NA,NA,NA,CL_0000845,813|Table Appendix III
memory B cell,LTa,NA,NA,NA,CL_0000787,813|Table Appendix III
naive B cell,LTa,NA,NA,NA,CL_0000788,813|Table Appendix III
plasma cell,LTa,NA,NA,NA,CL_0000786,813|Table Appendix III
plasmablast,LTa,NA,NA,NA,CL_0000980,813|Table Appendix III
antibody secreting cell,LTb,NA,NA,NA,CL_0000946,813|Table Appendix III
B cell,LTb,NA,NA,NA,CL_0000236,813|Table Appendix III
B-1 B cell,LTb,NA,NA,NA,CL_0000819,813|Table Appendix III
germinal center B cell,LTb,NA,NA,NA,CL_0000844,813|Table Appendix III
IgA plasma cell,LTb,NA,NA,NA,CL_0000987,813|Table Appendix III
marginal zone B cell,LTb,NA,NA,NA,CL_0000845,813|Table Appendix III
memory B cell,LTb,NA,NA,NA,CL_0000787,813|Table Appendix III
naive B cell,LTb,NA,NA,NA,CL_0000788,813|Table Appendix III
plasma cell,LTb,NA,NA,NA,CL_0000786,813|Table Appendix III
plasmablast,LTb,NA,NA,NA,CL_0000980,813|Table Appendix III
B cell,CCL11,Positive,1,0.45,CL_0000236,NA
B cell,CCL7,Positive,1,5.65,CL_0000236,NA
B cell,CD40LG,Positive,26,4.59,CL_0000236,NA
B cell,CSF2,Positive,6,0.5,CL_0000236,NA
B cell,CSF3,Positive,4,0.46,CL_0000236,NA
B cell,CXCL13,Positive,15,17.61,CL_0000236,NA
B cell,CXCL8,Positive,5,0.48,CL_0000236,NA
B cell,EPO,Positive,1,0.25,CL_0000236,NA
B cell,IFN1,Positive,4,2.32,CL_0000236,NA
B cell,IFNG,Positive,30,0.6,CL_0000236,NA
B cell,IL1,Positive,20,1.98,CL_0000236,NA
B cell,IL12,Positive,9,0.89,CL_0000236,NA
B cell,IL12A,Positive,1,42.38,CL_0000236,NA
B cell,IL12B,Positive,2,4.24,CL_0000236,NA
B cell,IL13,Positive,10,4.07,CL_0000236,NA
B cell,IL17A,Positive,5,2.04,CL_0000236,NA
B cell,IL1RN,Positive,1,0.66,CL_0000236,NA
B cell,IL2,Positive,68,1.93,CL_0000236,NA
B cell,IL21,Positive,8,2.55,CL_0000236,NA
B cell,IL25,Positive,1,1.97,CL_0000236,NA
B cell,IL3,Positive,1,0.33,CL_0000236,NA
B cell,IL32,Positive,1,3.39,CL_0000236,NA
B cell,IL4,Positive,105,6.65,CL_0000236,NA
B cell,IL5,Positive,12,2.11,CL_0000236,NA
B cell,LTA,Positive,4,7.18,CL_0000236,NA
B cell,TGFB,Positive,17,0.94,CL_0000236,NA
B cell,TNF,Positive,20,0.59,CL_0000236,NA
B-1a B cell,IL10,Positive,3,36.43,CL_0000820,NA
B-1a B cell,IL1B,Positive,1,23.21,CL_0000820,NA
B-2 B cell,TNF,Positive,1,39.43,CL_0000822,NA
basophil,CCL3,Positive,2,33.37,CL_0000767,NA
basophil,IL13,Positive,7,26.52,CL_0000767,"617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13."
basophil,IL4,Positive,35,28.76,CL_0000767,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.,451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.,605|Figure 14.3,612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.,617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13."
bladder cell,CSF2,Positive,2,12.62,CL_1001319,NA
blood cell,IL1B,Positive,1,9.95,CL_0000081,NA
blood cell,IL2,Positive,1,2.84,CL_0000081,NA
osteoclast,CXCL12,NA,NA,NA,CL_0000092,"299|The chemokine CXCL12 (stromal cell-derived factor 1, SDF-1) is also essential for the early stages of B-cell development. It is produced constitutively by bone marrow stromal cells, and one of its roles may be to retain developing B-cell precursors in the marrow microenvironment."
stromal cell of bone marrow,CXCL12,NA,NA,NA,CL_0010001,"299|The chemokine CXCL12 (stromal cell-derived factor 1, SDF-1) is also essential for the early stages of B-cell development. It is produced constitutively by bone marrow stromal cells, and one of its roles may be to retain developing B-cell precursors in the marrow microenvironment."
osteoclast,IL7,NA,NA,NA,CL_0000092,"298|The production of lymphocyte progenitors from the multipotent progenitor cell is accompanied by expression of the receptor for interleukin-7 (IL-7), which is induced by FLT3 signaling together with the activity of PU.1. The cytokine IL-7, secreted by bone marrow stromal cells, is essential for the growth and survival of developing B cells in mice (but possibly not in humans).,298|The receptor for interleukin-7 (IL-7) is present at this stage, and IL-7 produced by stromal cells is required for the development of B-lineage cells."
stromal cell of bone marrow,IL7,NA,NA,NA,CL_0010001,"298|The production of lymphocyte progenitors from the multipotent progenitor cell is accompanied by expression of the receptor for interleukin-7 (IL-7), which is induced by FLT3 signaling together with the activity of PU.1. The cytokine IL-7, secreted by bone marrow stromal cells, is essential for the growth and survival of developing B cells in mice (but possibly not in humans).,298|The receptor for interleukin-7 (IL-7) is present at this stage, and IL-7 produced by stromal cells is required for the development of B-lineage cells."
osteoclast,LIF,Positive,2,12.19,CL_0000092,813|Table Appendix III
stromal cell of bone marrow,LIF,NA,NA,NA,CL_0010001,813|Table Appendix III
osteoclast,MCSF,NA,NA,NA,CL_0000092,811|Table Appendix III
stromal cell of bone marrow,MCSF,NA,NA,NA,CL_0010001,811|Table Appendix III
osteoclast,OPGL,NA,NA,NA,CL_0000092,813|Table Appendix III
stromal cell of bone marrow,OPGL,NA,NA,NA,CL_0010001,813|Table Appendix III
bone marrow cell,CSF2,Positive,16,18.7,CL_0002092,NA
bone marrow cell,EPO,Positive,5,17.65,CL_0002092,NA
bone marrow cell,IFNA,Positive,2,3.61,CL_0002092,NA
bone marrow cell,IL5,Positive,3,7.46,CL_0002092,NA
bone marrow cell,IL6,Positive,7,5.35,CL_0002092,NA
bone marrow macrophage,IFNG,Positive,1,4.6,CL_0002476,NA
bone marrow macrophage,IL12,Positive,2,50.39,CL_0002476,NA
bronchial epithelial cell,CCL2,Positive,1,2.38,CL_0002328,NA
bronchial epithelial cell,CSF2,Positive,3,6.31,CL_0002328,NA
bronchial epithelial cell,CXCL5,Positive,1,79.79,CL_0002328,NA
bronchial epithelial cell,CXCL8,Positive,14,28.64,CL_0002328,NA
bronchial epithelial cell,IL10,Positive,2,2.43,CL_0002328,NA
bronchial epithelial cell,IL16,Positive,2,91.67,CL_0002328,NA
cap cell,CCL2,Positive,1,35.75,CL_0000676,NA
cardiac muscle cell,TNF,Positive,15,5.28,CL_0000746,NA
CD103-positive dendritic cell,IL2,Positive,1,39.77,CL_0002461,NA
CD11c-low plasmacytoid dendritic cell,IL10,Positive,1,72.86,CL_0000989,NA
"CD14-positive, CD16-positive monocyte",CCL2,Positive,1,15.89,CL_0002397,NA
"CD14-positive, CD16-positive monocyte",TNF,Positive,2,8.76,CL_0002397,NA
CD4-positive helper T cell,IFNG,Positive,3,8.28,CL_0000492,NA
"CD4-positive, alpha-beta intraepithelial T cell",CCL5,Positive,1,96.17,CL_0000793,NA
"CD4-positive, alpha-beta intraepithelial T cell",IFNG,Positive,5,6.57,CL_0000793,NA
"CD4-positive, alpha-beta intraepithelial T cell",IL10,Positive,1,3.47,CL_0000793,NA
"CD4-positive, alpha-beta intraepithelial T cell",IL21,Positive,1,23.14,CL_0000793,NA
"CD4-positive, alpha-beta intraepithelial T cell",IL6,Positive,1,6.88,CL_0000793,NA
"CD4-positive, alpha-beta memory T cell",IL4,Positive,1,17.49,CL_0000897,NA
"CD4-positive, alpha-beta T cell",CCL1,Positive,2,17.1,CL_0000624,NA
"CD4-positive, alpha-beta T cell",CD40LG,Positive,24,4.96,CL_0000624,NA
"CD4-positive, alpha-beta T cell",CSF2,Positive,5,0.5,CL_0000624,NA
"CD4-positive, alpha-beta T cell",CXCL13,Positive,2,4,CL_0000624,NA
"CD4-positive, alpha-beta T cell",CXCL8,Positive,2,0.19,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IFNG,Positive,236,5.41,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL10,Positive,62,3.76,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL12,Positive,22,2.76,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL16,Positive,3,6.55,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL17,Positive,50,9.71,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL17A,Positive,12,5.92,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL17F,Positive,1,6.41,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL2,Positive,113,3.63,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL21,Positive,19,7.71,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL22,Positive,6,6.84,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL23,Positive,1,1.21,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL3,Positive,2,0.79,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL4,Positive,66,4.72,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL5,Positive,10,2.13,CL_0000624,NA
"CD4-positive, alpha-beta T cell",IL6,Positive,15,0.86,CL_0000624,NA
"CD4-positive, alpha-beta T cell",TGFB1,Positive,6,0.51,CL_0000624,NA
"CD4-positive, alpha-beta T cell",TNF,Positive,26,0.81,CL_0000624,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IFNG,Positive,32,1.52,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL10,Positive,57,7.93,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL17,Positive,16,6.78,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL17A,Positive,2,2.15,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL1B,Positive,3,0.72,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL2,Positive,54,3.92,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL35,Positive,6,63.78,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",TGFB,Positive,30,4.14,CL_0000792,NA
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",TGFB1,Positive,7,1.31,CL_0000792,NA
"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",IL10,Positive,1,72.86,CL_0000796,NA
"CD8-positive, alpha-beta cytotoxic T cell",IFNG,Positive,8,6.31,CL_0000794,NA
"CD8-positive, alpha-beta cytotoxic T cell",IL2,Positive,2,2.27,CL_0000794,NA
"CD8-positive, alpha-beta cytotoxic T cell",TNF,Positive,1,2.25,CL_0000794,NA
"CD8-positive, alpha-beta memory T cell",IFNG,Positive,6,8.4,CL_0000909,NA
"CD8-positive, alpha-beta regulatory T cell",IL10,Positive,2,36.43,CL_0000795,NA
"CD8-positive, alpha-beta T cell",CXCL8,Positive,1,0.11,CL_0000625,NA
"CD8-positive, alpha-beta T cell",CXCL9,Positive,1,7.93,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IFNG,Positive,338,8.88,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL10,Positive,19,1.34,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL13,Positive,4,2.08,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL17,Positive,10,2.12,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL17A,Positive,3,1.72,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL2,Positive,57,2.12,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL21,Positive,7,3.58,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL22,Positive,1,0.99,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL3,Positive,2,0.92,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL4,Positive,10,1.05,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL5,Positive,4,0.99,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL6,Positive,3,0.2,CL_0000625,NA
"CD8-positive, alpha-beta T cell",IL7,Positive,10,2.78,CL_0000625,NA
"CD8-positive, alpha-beta T cell",TGFB,Positive,6,0.44,CL_0000625,NA
"CD8-positive, alpha-beta T cell",TNF,Positive,16,0.58,CL_0000625,NA
"CD8-positive, CD28-negative, alpha-beta regulatory T cell",IFNG,Positive,4,27.59,CL_0000920,NA
cell of skeletal muscle,CX3CL1,Positive,1,149.6,CL_0000188,NA
cell of skeletal muscle,GDF15,Positive,1,224.41,CL_0000188,NA
cementoblast,IL6,Positive,1,6.57,CL_0000061,NA
cholangiocyte,CXCL16,Positive,1,470.03,CL_1000488,NA
cholangiocyte,TGFB1,Positive,2,19.65,CL_1000488,NA
chondrocyte,CSF1,Positive,2,1.64,CL_0000138,NA
chondrocyte,CSF2,Positive,1,0.39,CL_0000138,NA
chondrocyte,CXCL8,Positive,3,1.15,CL_0000138,NA
chondrocyte,FGF1,Positive,1,6.94,CL_0000138,NA
chondrocyte,FGF2,Positive,8,4.15,CL_0000138,NA
chondrocyte,IL1,Positive,14,6.96,CL_0000138,NA
chondrocyte,IL1A,Positive,2,5.98,CL_0000138,NA
chondrocyte,IL6,Positive,11,3.38,CL_0000138,NA
chondrocyte,IL7,Positive,1,1.71,CL_0000138,NA
chondrocyte,TGFB,Positive,19,4.73,CL_0000138,NA
chondrocyte,TNF,Positive,14,1.72,CL_0000138,NA
classical monocyte,TNF,Positive,3,8.45,CL_0000860,NA
common myeloid progenitor,CSF2,Positive,1,9.71,CL_0000049,NA
conventional dendritic cell,TNF,Positive,3,9.1,CL_0000990,NA
cortical cell of adrenal gland,TGFB,Positive,3,34.28,CL_0002097,NA
corticotroph,CLCF1,Positive,1,9232.72,CL_0002309,NA
cumulus cell,IL1,Positive,1,98.62,CL_0000711,NA
cytotoxic T cell,IFNG,Positive,17,4.11,CL_0000910,NA
cytotoxic T cell,IL17A,Positive,1,5.45,CL_0000910,NA
cytotoxic T cell,IL4,Positive,3,2.3,CL_0000910,NA
CD11b-positive dendritic cell,APRIL,NA,NA,NA,CL_0002465,"545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
CD8_alpha-positive CD11b-negative dendritic cell,APRIL,NA,NA,NA,CL_0001000,"545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
conventional dendritic cell,APRIL,NA,NA,NA,CL_0000990,"545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
Langerhans cell,APRIL,NA,NA,NA,CL_0000453,"545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
myeloid dendritic cell,APRIL,NA,NA,NA,CL_0000782,"545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
CD11b-positive dendritic cell,BAFF,NA,NA,NA,CL_0002465,"403|Once in the follicle, naive B cells encounter the soluble TNF-family cytokine BAFF (see Section 8-8), which is secreted by FDCs, stromal cells, and dendritic cells and which acts as a survival factor for B cells.,421|Dendritic cells and macrophages can provide co-stimulatory signals for activation of B cells by TI-2 antigens. One of these co-stimulatory signals is BAFF, which can be secreted by dendritic cells and interacts with the receptor TACI on the B cell (see Fig. 10.25, right panels).,545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
CD8_alpha-positive CD11b-negative dendritic cell,BAFF,NA,NA,NA,CL_0001000,"403|Once in the follicle, naive B cells encounter the soluble TNF-family cytokine BAFF (see Section 8-8), which is secreted by FDCs, stromal cells, and dendritic cells and which acts as a survival factor for B cells.,421|Dendritic cells and macrophages can provide co-stimulatory signals for activation of B cells by TI-2 antigens. One of these co-stimulatory signals is BAFF, which can be secreted by dendritic cells and interacts with the receptor TACI on the B cell (see Fig. 10.25, right panels).,545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
conventional dendritic cell,BAFF,NA,NA,NA,CL_0000990,"403|Once in the follicle, naive B cells encounter the soluble TNF-family cytokine BAFF (see Section 8-8), which is secreted by FDCs, stromal cells, and dendritic cells and which acts as a survival factor for B cells.,421|Dendritic cells and macrophages can provide co-stimulatory signals for activation of B cells by TI-2 antigens. One of these co-stimulatory signals is BAFF, which can be secreted by dendritic cells and interacts with the receptor TACI on the B cell (see Fig. 10.25, right panels).,545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
Langerhans cell,BAFF,NA,NA,NA,CL_0000453,"403|Once in the follicle, naive B cells encounter the soluble TNF-family cytokine BAFF (see Section 8-8), which is secreted by FDCs, stromal cells, and dendritic cells and which acts as a survival factor for B cells.,421|Dendritic cells and macrophages can provide co-stimulatory signals for activation of B cells by TI-2 antigens. One of these co-stimulatory signals is BAFF, which can be secreted by dendritic cells and interacts with the receptor TACI on the B cell (see Fig. 10.25, right panels).,545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
myeloid dendritic cell,BAFF,NA,NA,NA,CL_0000782,"403|Once in the follicle, naive B cells encounter the soluble TNF-family cytokine BAFF (see Section 8-8), which is secreted by FDCs, stromal cells, and dendritic cells and which acts as a survival factor for B cells.,421|Dendritic cells and macrophages can provide co-stimulatory signals for activation of B cells by TI-2 antigens. One of these co-stimulatory signals is BAFF, which can be secreted by dendritic cells and interacts with the receptor TACI on the B cell (see Fig. 10.25, right panels).,545|TACI is the receptor for the cytokines BAFF and APRIL, which are produced by T cells, dendritic cells, and macrophages, and which can provide co-stimulatory and survival signals for B-cell activation and class switching (see Section 10-3)."
CD11b-positive dendritic cell,CCL18,NA,NA,NA,CL_0002465,361|Figure 9.17
CD8_alpha-positive CD11b-negative dendritic cell,CCL18,NA,NA,NA,CL_0001000,361|Figure 9.17
conventional dendritic cell,CCL18,NA,NA,NA,CL_0000990,361|Figure 9.17
Langerhans cell,CCL18,NA,NA,NA,CL_0000453,361|Figure 9.17
myeloid dendritic cell,CCL18,NA,NA,NA,CL_0000782,361|Figure 9.17
CD11b-positive dendritic cell,CCL19,NA,NA,NA,CL_0002465,"350|Dendritic cells secrete CCL19, which attracts T cells to the developing lymph node,350|Dendritic cells with CCR7—a receptor for CCL21—are attracted to the site of the developing lymph node by CCL21 (second panel); it is not known whether at the earliest stages of lymph-node development immature dendritic cells enter from the bloodstream or via the lymphatics, as they do later in life. once in the lymph node, the dendritic cells express the chemokine CCL19, which is also bound by CCR7.,351|CCL21 is produced by stromal cells of T-cell zones in secondary lymphoid tissues, and is displayed on endothelial cells of high endothelial venules (HEVs). Another source of CCL21 is interdigitating dendritic cells, which also produce CCL19 and are prominent in T-cell zones.,351|This organization would then be reinforced by CCL21 and CCL19 secreted by resident dendritic cells, which in turn attract more T cells and migratory dendritic cells.,355|Once naive T cells have arrived in the T-cell zone via high endothelial venules, CCR7 directs their retention in this location, as they are attracted to dendritic cells that produce CCL21 and CCL19 in the T-cell zone.,362|Activated dendritic cells also express very high levels of adhesion molecules, including DC-SIGN, and they secrete the chemokine CCL19, which specifically attracts naive T cells.,403|Naive T cells express the chemokine receptor CCR7, and localize to zones where its ligands, CCL19 and CCL21, are highly expressed by stromal cells and dendritic cells (see Section 9-3)."
